Age,Gender,Employment_Status,Sleep_Hours,Sleep_Quality,Screen_Time_Hours,Physical_Activity_Hours,Social_Interaction_Score,Diet_Quality,Caffeine_Intake_Cups,Work_Study_Hours,Academic_Work_Pressure,Financial_Stress,Family_Support_Score,Stress_Level,Mental_Health_Score
18,Other,Student,8.9,8.4,8.1,4.7,5.6,4.4,0,5.3,9.4,5.1,5.3,5.5,65.7
37,Male,Employed,6.0,4.4,6.3,0.9,7.2,3.8,5,6.9,7.1,2.7,6.3,6.4,51.1
41,Male,Student,2.0,2.9,3.4,2.8,6.3,1.0,4,10.2,7.8,4.5,7.3,7.6,38.9
42,Male,Student,5.6,8.7,6.6,2.3,1.8,7.2,0,8.7,6.5,9.2,7.2,5.2,60.6
57,Female,Student,8.9,6.7,1.5,1.9,5.1,3.8,2,4.5,3.7,6.3,,7.3,42.2
51,Female,Employed,5.1,4.7,5.7,1.5,5.7,8.1,0,7.5,4.9,8.9,7.2,3.9,46.4
48,Male,Employed,5.9,8.4,6.5,5.2,10.0,3.9,1,12.0,4.3,10.0,7.0,4.2,67.1
53,Female,Student,7.4,6.1,9.1,0.1,4.7,6.6,3,5.1,9.4,6.8,,8.9,27.6
55,Female,Student,6.3,2.8,3.2,1.7,6.2,6.4,3,6.8,7.5,6.1,6.6,4.4,49.0
38,Female,Employed,7.2,5.5,2.1,4.1,3.5,6.6,2,9.2,3.2,8.8,9.0,6.0,52.6
19,Female,Unemployed,5.9,5.2,5.8,3.9,3.7,5.8,4,3.0,3.4,1.0,2.7,5.3,64.0
29,Male,Employed,3.6,6.5,4.0,2.8,7.5,7.3,3,7.8,4.3,3.1,2.7,8.4,45.5
32,Female,Student,3.7,4.4,8.2,1.9,5.1,4.2,2,7.3,1.4,7.0,5.7,8.0,38.0
36,Male,Employed,7.4,2.9,4.4,3.4,3.1,8.6,2,4.7,6.4,4.1,6.6,6.2,49.1
19,Male,Student,5.9,7.2,3.3,0.2,10.0,5.0,1,8.9,7.2,6.8,6.9,6.5,51.8
41,Male,Unemployed,9.3,5.9,6.4,4.9,7.8,5.4,1,0.0,4.2,1.0,9.9,5.8,82.8
55,Male,Student,6.6,5.5,5.0,0.7,3.1,4.0,6,10.7,4.2,5.9,2.9,8.4,20.2
46,Female,Unemployed,8.3,5.9,5.7,0.4,1.8,5.6,3,0.2,7.5,7.0,7.0,4.8,42.3
47,Female,Employed,7.3,5.9,4.5,1.5,4.1,5.6,4,4.7,2.7,3.4,5.1,5.3,58.9
33,Male,Employed,7.7,5.6,4.1,0.9,5.1,6.4,5,8.3,3.6,10.0,4.3,3.6,45.2
39,Male,Employed,6.0,6.5,3.3,1.4,3.9,7.4,2,11.0,6.2,5.5,5.0,2.4,57.6
50,Female,Student,4.1,6.2,6.5,1.2,4.6,6.3,2,6.0,2.5,10.0,7.8,5.5,51.9
26,Female,Employed,6.6,6.2,9.6,0.5,5.2,7.9,1,8.1,5.7,7.2,3.6,4.8,45.6
24,Female,Student,7.2,5.3,5.0,2.9,6.4,7.8,0,3.0,8.1,2.3,6.3,3.5,61.1
55,Female,Unemployed,6.7,6.6,5.4,2.0,5.6,6.8,2,0.9,5.1,5.6,3.7,7.1,44.1
31,Female,Unemployed,6.6,,7.5,3.8,5.1,5.8,5,1.2,4.4,4.4,8.7,4.5,60.2
51,Female,Employed,7.9,9.3,5.4,3.8,3.7,8.2,2,9.5,8.3,4.4,8.0,5.5,64.1
35,Male,Employed,6.4,4.6,1.9,0.1,4.9,4.2,2,11.8,6.0,1.0,5.3,5.7,49.1
39,Female,Employed,7.0,3.3,2.0,0.2,3.6,10.0,3,12.0,7.9,4.9,2.6,6.7,40.1
42,Female,Student,6.7,5.1,8.7,1.2,2.3,8.6,0,5.5,7.8,9.4,4.9,5.3,41.5
50,Male,Student,6.8,6.3,7.1,5.6,5.3,8.0,3,6.8,5.2,3.8,,5.8,63.4
35,Female,Student,7.8,3.0,4.6,0.4,6.7,6.3,3,3.4,5.7,7.5,5.0,7.2,34.1
24,Male,Employed,6.3,7.2,1.6,0.8,4.1,7.5,1,1.4,4.6,5.4,4.0,2.1,65.8
48,Male,Student,7.7,9.3,5.5,0.9,4.3,6.6,0,10.3,6.9,1.0,7.4,5.7,70.8
49,Male,Student,6.0,4.4,2.3,5.1,3.8,2.0,3,8.3,6.2,4.0,9.4,4.2,66.1
54,Female,Employed,7.5,7.3,8.4,0.5,10.0,7.6,2,11.0,6.3,2.1,8.7,3.6,75.9
50,Male,Student,7.2,7.2,3.5,4.2,4.7,6.8,1,7.1,3.2,8.1,6.4,5.4,51.7
23,Male,Student,7.0,10.0,6.5,0.1,0.9,5.2,2,0.0,7.2,1.0,4.5,10.0,34.4
21,Male,Employed,5.7,,4.0,2.0,6.9,6.1,2,7.1,6.0,2.6,6.2,8.6,47.8
28,Male,Student,4.7,3.1,6.1,2.9,2.5,7.3,1,6.7,5.0,3.3,5.0,5.4,30.9
44,Female,Employed,6.0,9.3,7.2,0.9,1.6,5.7,1,8.9,8.3,8.0,7.6,6.8,43.0
55,Male,Student,8.7,5.8,3.3,3.5,5.9,7.7,4,6.9,7.5,7.6,6.6,3.6,51.3
57,Male,Student,9.0,8.8,5.3,3.1,1.2,6.4,2,9.0,9.8,6.2,5.6,5.9,54.5
21,Male,Unemployed,5.9,7.2,6.1,0.8,7.0,6.9,1,2.6,8.2,5.7,8.2,7.0,58.3
49,Male,Student,8.3,4.0,7.6,2.4,5.3,6.0,1,8.8,7.0,2.4,8.8,5.1,65.2
22,Male,Employed,5.7,7.0,4.0,3.6,8.1,5.9,0,11.5,7.1,2.9,3.5,3.5,58.3
30,Female,Student,9.5,10.0,1.8,1.4,6.8,4.2,1,7.5,10.0,6.0,6.1,10.0,60.0
45,Male,Employed,6.3,8.8,7.8,1.9,6.7,4.6,1,8.6,6.3,6.6,9.2,2.8,73.9
43,Male,Employed,8.0,5.6,2.9,3.0,8.7,3.4,1,8.8,3.8,10.0,10.0,8.7,52.7
55,Male,Employed,5.5,6.6,5.1,5.3,7.9,6.0,4,7.8,6.4,5.9,8.4,6.9,61.9
44,Female,Employed,6.1,4.0,6.1,0.5,3.5,7.2,1,4.2,8.9,6.5,10.0,4.6,47.3
28,Male,Student,6.8,9.2,3.0,0.7,9.9,3.3,3,8.8,6.1,4.5,4.8,4.1,74.2
52,Male,Student,4.6,2.3,8.0,0.0,8.1,3.9,2,7.6,6.5,10.0,4.7,6.7,22.9
20,Other,Student,6.0,9.2,5.6,4.8,5.3,3.4,4,9.1,6.3,10.0,5.7,5.4,54.5
53,Female,Student,5.6,5.2,0.0,1.1,8.2,9.0,1,3.5,5.6,4.7,9.5,2.9,64.4
54,Male,Student,7.7,6.5,4.1,0.3,2.1,8.1,3,10.2,4.9,4.7,10.0,7.0,53.8
46,Female,Unemployed,8.3,6.8,2.9,6.3,8.5,7.3,1,0.0,4.4,8.0,4.6,2.2,76.7
31,Female,Employed,5.0,,9.1,0.5,4.8,7.3,1,10.3,3.9,5.6,5.7,5.7,41.5
38,Female,Student,5.5,6.9,4.8,1.0,7.9,3.7,2,9.3,4.2,7.9,3.3,2.3,53.6
55,Male,Employed,9.5,5.0,5.1,1.9,6.6,2.8,1,6.9,8.0,2.3,5.9,2.7,65.4
29,Male,Employed,5.7,5.3,4.7,2.6,7.3,4.4,1,8.9,5.3,2.3,2.8,3.1,62.7
53,Female,Employed,5.0,2.4,4.0,0.4,6.4,3.6,0,9.9,5.2,7.6,5.6,7.1,30.0
45,Male,Employed,7.6,5.3,6.5,1.0,3.5,8.8,5,10.1,4.6,5.4,6.4,10.0,42.1
25,Male,Employed,6.7,4.7,4.8,3.7,3.9,9.1,1,6.8,7.0,6.0,3.3,7.6,44.0
55,Male,Student,4.5,4.2,9.3,3.8,6.1,7.1,2,8.9,5.9,4.6,3.4,8.1,38.8
36,Male,Employed,7.5,6.6,4.2,3.0,10.0,9.0,2,8.8,7.8,5.0,6.1,3.3,78.1
18,Male,Student,8.3,7.2,4.9,3.4,7.8,,1,7.1,4.9,6.6,5.1,3.5,83.1
55,Male,Student,6.1,4.3,3.8,11.6,5.5,6.1,1,7.3,5.7,7.3,5.2,3.9,61.5
18,Female,Employed,5.2,4.0,6.6,0.8,7.0,4.4,2,15.3,2.9,5.5,2.8,9.6,30.8
34,Female,Employed,4.6,5.2,7.1,1.1,6.6,7.1,2,8.2,4.7,1.0,10.0,3.9,74.5
43,Female,Student,5.8,3.9,6.4,1.6,10.0,5.9,2,5.0,10.0,3.2,7.2,3.0,66.6
42,Male,Student,4.9,3.9,5.0,5.5,7.2,7.4,3,9.2,6.7,5.6,7.4,7.3,45.3
19,Female,Employed,5.6,4.1,4.6,0.2,5.8,6.3,4,9.3,6.9,5.5,5.7,4.2,45.1
47,Female,Employed,6.9,2.1,1.0,2.7,7.4,7.6,0,7.9,6.6,1.0,4.6,7.6,50.1
39,Male,Employed,5.9,5.0,7.9,0.9,7.6,6.4,1,12.2,3.5,5.3,2.0,6.2,35.9
36,Male,Employed,5.4,3.7,5.3,4.1,4.0,6.8,2,4.2,5.3,7.5,6.9,4.7,41.3
19,Male,Student,7.2,2.5,3.9,,8.3,5.5,3,10.4,6.4,3.6,6.1,4.9,54.6
24,Female,Student,8.1,2.7,5.8,0.5,6.2,8.1,4,10.1,5.1,3.8,7.8,9.0,43.1
41,Female,Student,5.7,4.5,6.5,3.5,6.8,5.6,8,6.0,3.8,6.4,6.9,8.0,39.1
22,Female,Employed,5.6,5.9,2.1,0.5,6.8,6.8,3,4.2,2.9,1.0,,6.3,66.4
49,Female,Employed,6.0,9.8,9.7,2.7,2.2,5.7,2,11.4,6.9,5.1,6.7,5.9,51.4
50,Female,Unemployed,6.8,3.7,2.1,,4.9,3.3,1,0.0,6.4,3.3,3.0,8.7,40.5
25,Male,Student,6.6,5.5,3.8,5.1,7.3,6.4,4,11.4,5.8,3.0,10.0,7.4,72.9
51,Female,Unemployed,4.9,4.6,7.2,2.7,10.0,8.8,2,0.8,10.0,10.0,4.7,9.1,27.8
19,Male,Student,5.7,7.3,1.1,1.9,5.9,5.8,1,9.0,5.7,5.0,3.0,2.9,54.9
25,Female,Employed,6.7,1.7,4.9,2.7,4.1,3.5,4,4.8,8.8,1.3,10.0,4.9,45.1
55,Female,Unemployed,5.5,7.4,3.2,1.8,4.2,6.7,3,0.8,4.9,8.7,4.9,9.8,32.4
48,Female,Student,3.6,6.1,7.1,5.2,6.7,6.2,0,8.9,5.2,6.4,5.9,1.4,54.6
20,Male,Unemployed,3.6,7.6,5.2,1.1,4.4,7.3,3,0.7,9.0,1.2,0.7,1.2,48.3
56,Female,Employed,6.1,1.6,7.0,0.3,5.7,1.5,4,12.4,2.5,7.0,6.5,8.7,18.2
57,Male,Employed,7.4,6.6,6.4,1.8,5.8,4.7,2,7.3,5.3,5.2,10.0,5.3,66.9
50,Female,Unemployed,6.9,7.4,4.9,5.1,3.6,5.3,1,0.0,3.6,7.3,4.9,4.2,60.0
52,Male,Employed,5.9,5.4,3.6,1.6,5.4,3.5,1,4.0,6.1,6.8,3.2,4.2,46.4
31,Male,Student,8.5,,7.2,1.4,4.3,,1,7.6,6.9,1.0,6.9,7.7,42.7
38,Male,Employed,7.1,3.5,4.6,0.2,4.4,6.8,2,3.5,3.8,1.2,2.6,4.2,57.4
20,Male,Unemployed,7.2,1.0,6.4,1.0,4.7,4.3,4,1.1,5.5,7.6,4.2,3.4,41.0
48,Female,Employed,9.6,4.8,7.6,0.2,9.9,8.5,1,7.9,9.0,5.8,8.0,3.7,63.9
31,Male,Employed,7.7,8.9,5.1,2.1,2.5,8.8,2,9.1,5.5,4.4,6.7,1.6,71.3
21,Male,Student,6.2,9.6,9.4,0.9,4.7,8.8,2,5.3,6.3,2.3,8.7,8.2,65.9
35,Male,Employed,5.6,3.5,6.9,0.8,7.7,7.5,0,4.4,3.3,8.2,3.7,3.1,60.9
45,Male,Employed,10.0,3.5,5.4,0.6,5.4,5.7,2,6.9,5.7,9.1,3.7,4.9,45.3
25,Male,Employed,6.2,4.1,6.7,1.8,8.2,8.8,0,4.4,2.0,2.7,1.0,4.2,59.1
52,Male,Employed,6.0,5.7,7.0,8.0,2.6,7.4,1,7.2,3.6,1.8,6.7,3.7,64.8
47,Female,Student,5.8,4.3,2.5,3.9,5.5,7.7,2,10.8,8.5,6.5,8.1,5.4,52.0
29,Female,Student,8.7,9.6,6.9,0.1,9.0,5.4,1,11.7,3.1,5.1,7.3,4.9,81.7
53,Male,Student,6.3,3.2,7.9,7.7,5.6,7.4,3,5.5,7.2,5.0,8.8,5.4,47.7
31,Female,Student,6.5,3.3,7.6,5.5,10.0,7.5,1,11.5,9.9,7.8,7.5,3.0,70.1
55,Female,Student,7.8,7.1,4.2,4.4,4.7,6.2,1,10.7,3.9,7.0,9.1,7.2,60.6
21,Female,Unemployed,6.7,7.1,2.6,0.1,4.0,7.0,1,1.8,5.6,6.0,3.4,2.9,60.2
46,Male,Student,5.9,3.7,5.1,0.6,4.5,4.8,3,5.6,5.9,4.6,8.6,4.8,44.6
28,Female,Student,10.0,7.7,6.1,0.1,3.6,7.4,2,2.3,8.1,3.6,8.2,6.6,58.7
32,Male,Employed,9.6,9.3,6.0,3.1,8.3,5.1,2,10.3,8.5,7.0,4.5,4.2,70.3
36,Male,Employed,7.3,5.2,2.5,5.0,2.8,4.7,2,0.5,5.0,7.6,4.0,8.7,41.5
47,Other,Unemployed,7.5,5.0,2.6,1.9,4.4,6.7,0,2.2,4.2,7.7,8.5,5.5,47.2
23,Female,Student,5.0,3.3,7.3,0.5,5.1,2.8,1,4.2,8.5,5.0,,7.9,29.0
42,Male,Student,6.8,7.6,9.4,3.6,9.7,4.5,3,7.7,8.0,5.4,7.0,10.0,48.7
54,Male,Employed,5.8,6.8,4.6,2.0,7.2,7.3,1,9.9,5.0,7.1,7.3,3.6,67.6
46,Male,Student,4.9,7.5,6.7,8.7,6.7,5.2,5,8.6,4.7,1.8,5.7,2.3,72.8
48,Male,Student,4.1,5.7,9.2,0.4,4.2,4.6,3,7.6,6.3,4.0,5.2,5.3,38.5
44,Male,Employed,7.8,4.7,4.1,7.8,4.3,10.0,2,5.9,6.1,8.1,3.8,5.3,57.4
24,Male,Employed,2.9,6.6,7.7,0.6,3.9,7.5,2,9.5,8.2,4.4,6.2,6.9,42.8
35,Female,Employed,6.7,8.2,8.5,3.5,4.7,4.7,1,8.1,5.3,3.4,7.4,3.4,69.6
56,Female,Student,5.8,4.6,3.3,1.0,5.8,5.0,3,12.3,8.1,2.0,7.5,4.3,47.6
26,Male,Unemployed,6.6,4.0,6.2,2.1,3.6,7.6,3,1.5,8.8,9.9,5.5,7.1,37.5
25,Other,Student,9.6,4.5,3.9,0.3,6.5,9.4,1,12.5,4.5,2.4,7.5,10.0,52.6
31,Male,Employed,7.9,8.1,7.7,2.9,1.9,,3,6.1,5.0,7.5,6.4,2.5,57.0
55,Female,Employed,5.7,5.5,4.0,1.2,0.0,7.2,3,7.5,6.2,6.5,8.2,5.6,41.7
33,Female,Employed,6.4,7.5,2.1,1.4,2.6,7.9,2,10.5,5.2,5.5,5.6,3.4,69.1
42,Female,Unemployed,6.0,,4.7,3.4,7.0,8.9,1,1.7,3.6,2.8,7.0,1.1,97.1
22,Other,Student,6.7,2.8,2.1,4.2,3.2,6.9,3,4.4,6.5,3.8,7.1,5.3,46.7
46,Male,Student,5.8,5.0,7.1,0.4,10.0,2.3,2,7.2,8.9,10.0,9.8,7.0,37.7
56,Male,Employed,5.3,3.9,3.9,3.9,7.3,4.0,1,8.6,7.5,3.4,5.9,8.1,40.3
50,Male,Employed,6.9,6.7,4.9,1.9,2.4,5.7,0,6.5,7.0,1.0,9.7,5.9,71.1
37,Male,Employed,4.8,4.4,5.0,1.7,5.5,5.8,1,5.5,6.7,2.0,4.8,9.4,37.1
35,Female,Unemployed,5.6,4.4,2.7,5.5,4.8,5.9,2,2.8,6.6,4.0,4.3,2.8,58.2
34,Female,Employed,5.5,7.4,5.4,0.2,6.2,5.6,1,9.9,7.6,2.5,7.6,1.3,73.4
25,Female,Student,6.4,5.7,3.0,0.2,4.1,3.5,2,12.3,6.0,6.3,4.6,5.0,45.5
30,Female,Student,7.2,,0.1,4.8,7.3,6.8,0,6.9,5.4,4.0,3.1,4.5,69.1
41,Male,Employed,5.3,6.3,3.3,3.7,6.7,7.0,3,9.7,1.7,3.8,7.2,6.6,63.7
51,Male,Student,7.2,5.6,2.9,2.1,7.2,6.7,5,8.0,10.0,5.0,6.0,8.6,36.4
45,Female,Student,5.1,5.1,7.8,0.2,2.5,7.3,0,8.3,4.3,1.0,4.7,4.6,48.2
32,Male,Student,5.9,3.2,6.3,0.2,3.3,9.5,2,9.4,5.3,10.0,2.6,7.0,30.3
32,Male,Student,6.9,6.2,5.4,0.6,7.4,7.9,1,4.7,8.2,7.5,6.5,5.6,58.3
42,Male,Student,6.4,6.0,6.7,0.1,6.0,6.1,2,7.2,7.6,4.5,6.6,1.0,62.9
41,Male,Student,7.9,,5.5,2.0,4.5,6.7,0,7.3,5.6,6.1,7.6,5.4,55.8
58,Female,Student,5.7,7.4,8.0,4.0,4.1,6.1,6,6.8,6.8,4.1,8.6,2.9,64.6
19,Male,Student,5.7,8.8,3.3,2.2,7.4,6.9,4,10.2,9.5,3.4,5.7,7.2,64.2
27,Female,Employed,4.7,4.5,8.1,1.7,6.1,8.0,1,8.4,4.9,6.6,5.5,4.8,33.1
51,Male,Student,7.1,3.3,7.3,1.0,10.0,6.3,1,9.5,5.5,9.6,2.9,6.0,30.1
54,Male,Employed,8.3,9.6,8.7,,6.7,6.9,1,9.5,5.6,4.1,4.6,4.2,78.0
25,Female,Employed,10.5,4.8,7.4,11.7,8.7,6.8,0,8.1,5.5,5.6,5.2,2.4,71.3
35,Male,Student,8.1,4.6,6.0,0.1,5.6,1.0,2,6.6,4.2,2.9,7.9,5.1,55.5
27,Male,Student,5.4,5.5,6.6,1.4,6.5,4.6,0,5.5,3.9,3.0,7.9,9.5,39.5
25,Male,Student,7.3,5.5,6.7,1.4,5.9,2.5,0,5.5,6.8,8.7,8.0,4.5,58.7
23,Male,Student,7.8,3.7,5.0,1.1,5.1,3.1,4,7.4,6.3,5.9,9.4,5.6,50.6
45,Male,Unemployed,4.8,5.8,6.9,0.2,5.9,5.3,1,0.3,7.0,7.9,,3.5,45.3
24,Male,Employed,4.4,8.6,6.8,2.7,4.9,4.8,1,10.5,6.6,10.0,,6.7,43.4
19,Female,Unemployed,5.5,1.5,6.9,4.8,5.5,3.5,2,2.8,7.6,6.5,4.3,5.8,27.9
38,Male,Student,4.7,4.1,4.0,2.2,3.2,6.4,1,8.1,7.8,1.6,,3.9,52.3
40,Female,Employed,7.4,3.6,7.5,2.6,6.9,7.0,3,5.1,7.3,4.8,7.7,6.3,54.3
36,Male,Employed,7.3,5.2,2.5,5.0,2.8,4.7,2,0.5,5.0,7.6,4.0,8.7,41.5
33,Female,Employed,6.0,4.3,7.3,3.0,6.9,6.5,1,5.0,3.7,4.7,5.1,5.2,56.5
46,Female,Employed,7.1,6.6,2.3,0.5,4.0,,4,11.9,6.3,4.8,4.8,2.4,60.6
26,Male,Employed,7.3,7.6,5.2,0.7,1.2,6.7,2,9.9,4.5,1.0,6.7,3.8,67.8
26,Female,Student,8.1,8.4,4.5,4.4,7.3,8.5,4,12.1,4.9,6.8,6.0,4.8,62.9
24,Male,Student,4.4,6.4,7.3,1.0,6.4,2.6,1,9.1,8.3,6.5,8.6,9.7,39.4
53,Female,Employed,5.6,2.8,4.5,1.0,4.7,8.0,1,4.7,6.6,1.0,5.4,8.0,43.7
31,Male,Unemployed,6.3,5.5,5.4,0.8,2.7,9.8,3,1.6,4.4,5.5,0.0,9.0,25.4
21,Male,Student,7.4,8.4,3.9,0.7,7.3,5.2,2,5.5,6.4,5.7,5.4,9.0,46.3
45,Male,Employed,7.0,4.2,5.8,1.5,4.7,5.5,0,11.6,9.2,1.6,7.4,2.0,51.6
35,Female,Unemployed,5.5,3.0,5.1,3.1,4.2,6.2,2,2.2,2.6,3.8,6.2,7.3,56.2
53,Male,Student,6.7,8.6,4.2,1.6,4.2,4.7,2,9.9,8.8,4.4,6.1,1.0,79.2
25,Male,Student,6.7,7.1,8.0,0.9,2.8,3.5,2,5.7,3.4,1.0,4.3,6.5,46.1
47,Female,Student,7.3,4.6,3.0,0.1,1.6,,2,6.9,2.1,2.8,4.6,6.4,38.3
56,Other,Employed,5.3,8.2,6.6,3.3,4.9,8.7,3,3.3,8.4,1.2,6.7,7.5,61.9
31,Female,Employed,7.9,,9.2,1.3,10.0,7.8,3,8.9,7.9,5.3,6.0,5.9,64.3
34,Female,Employed,2.6,8.3,4.1,4.4,9.9,,4,9.0,6.4,3.4,9.5,3.9,86.3
51,Male,Student,4.7,7.9,5.2,0.7,4.9,1.9,1,11.3,1.3,1.9,5.1,2.8,73.7
36,Female,Employed,7.8,9.8,7.7,0.5,4.7,4.1,2,10.6,3.5,5.9,3.8,3.6,66.6
47,Male,Student,5.2,1.0,8.4,3.7,5.8,7.0,2,10.6,3.4,5.7,5.6,5.3,43.9
34,Female,Student,6.2,1.0,8.1,0.9,5.1,7.0,1,9.0,6.9,2.1,1.5,6.9,27.2
23,Female,Unemployed,7.6,6.9,2.5,1.6,4.6,2.3,0,0.9,4.2,7.3,2.4,3.4,60.5
41,Female,Student,7.0,8.1,4.5,0.3,5.9,6.6,1,7.9,6.7,5.7,5.4,6.2,66.0
44,Female,Student,6.9,8.2,5.7,1.6,4.4,7.2,0,7.3,3.3,10.0,7.6,3.8,47.3
49,Female,Employed,6.9,5.0,8.8,1.9,2.4,1.0,2,9.0,7.0,6.6,4.5,1.8,46.2
46,Male,Student,7.0,3.5,4.8,,5.3,4.7,3,7.4,6.3,7.3,9.4,4.6,47.0
27,Male,Employed,5.5,6.6,5.2,0.5,6.6,5.4,0,8.6,4.9,7.0,10.0,8.2,45.9
48,Male,Employed,7.6,5.8,5.2,4.2,2.5,,5,7.0,7.1,1.5,5.3,6.0,68.2
27,Male,Student,6.1,4.0,1.9,1.1,3.4,8.1,3,8.0,3.8,2.4,5.2,7.6,41.8
59,Female,Employed,5.5,8.1,1.0,2.3,6.9,7.4,2,6.5,3.6,3.2,3.8,6.8,62.2
36,Male,Student,8.0,2.6,5.3,6.3,6.8,7.2,1,6.5,9.2,4.6,6.6,9.5,47.0
47,Female,Student,6.7,7.8,5.0,1.3,7.7,2.5,3,7.6,10.0,5.1,6.4,1.0,59.1
54,Female,Student,8.9,4.5,6.3,2.9,10.0,2.9,1,6.1,7.0,7.7,6.7,6.5,54.4
56,Female,Student,6.6,2.4,2.4,1.4,6.0,2.4,4,4.8,4.3,10.0,4.3,5.3,29.7
30,Male,Student,3.9,4.0,2.9,2.0,9.3,6.1,6,8.8,5.1,3.7,9.9,7.0,47.9
45,Male,Employed,4.7,1.4,4.7,0.8,4.1,6.6,2,9.6,7.1,3.2,6.2,6.1,48.4
52,Female,Student,7.9,8.0,5.5,0.8,9.1,6.4,1,8.7,5.0,5.4,6.3,2.2,81.7
51,Male,Employed,8.9,8.0,7.3,4.5,5.1,4.9,3,10.9,5.7,4.6,8.6,5.8,77.4
41,Male,Student,6.0,2.5,6.5,1.5,5.1,5.4,3,10.0,7.5,3.5,6.0,5.1,30.7
23,Female,Student,5.9,7.1,4.1,2.8,9.0,2.2,1,5.9,6.4,9.6,,6.4,56.8
54,Male,Employed,5.9,6.2,7.9,2.0,1.5,6.1,1,6.4,5.2,5.6,9.2,4.0,52.6
23,Other,Student,4.2,7.0,6.7,3.1,5.6,5.2,3,8.4,6.1,5.3,7.7,7.0,49.2
51,Female,Student,10.1,8.1,2.0,0.3,3.6,7.4,0,9.0,8.1,3.1,8.5,3.4,65.0
19,Female,Employed,6.3,8.6,0.0,3.3,3.4,2.1,3,6.5,4.6,5.9,8.1,9.7,51.2
54,Female,Employed,7.5,7.1,6.3,0.1,8.3,6.4,1,9.6,5.7,3.9,4.1,5.0,59.0
30,Female,Student,5.6,1.3,5.8,3.3,6.4,8.0,1,6.7,6.6,9.6,2.0,3.3,43.1
41,Male,Employed,7.0,6.4,2.3,2.5,5.5,8.3,6,8.9,4.0,2.3,9.3,2.8,70.0
58,Male,Student,5.3,6.0,3.8,8.9,6.7,5.1,1,6.6,5.6,3.2,4.8,3.4,73.0
34,Male,Employed,6.5,4.2,9.0,0.2,5.7,5.8,3,8.8,10.0,4.3,5.7,5.0,37.4
32,Male,Employed,8.1,2.3,2.4,4.6,5.6,8.7,1,9.5,6.5,3.3,2.6,7.5,49.5
39,Female,Student,9.1,8.2,3.0,0.9,1.9,5.4,3,8.8,5.0,6.0,6.0,5.1,57.7
26,Female,Student,6.7,5.5,8.7,0.3,6.9,4.4,3,7.4,6.3,3.4,10.0,3.9,68.8
21,Female,Student,4.7,2.7,4.3,0.4,5.6,4.4,0,6.0,9.5,6.8,6.4,2.9,42.7
21,Female,Student,8.4,7.5,5.8,0.4,6.0,5.7,2,7.1,4.2,3.2,5.0,3.2,60.9
22,Female,Student,7.8,9.0,1.7,10.8,6.8,,3,10.2,3.8,7.4,7.1,6.2,63.7
39,Female,Student,7.5,5.8,2.8,0.9,3.3,8.9,1,5.2,5.6,4.9,3.6,3.9,57.8
39,Female,Employed,6.4,7.4,9.0,6.7,8.0,6.4,4,8.4,4.3,3.8,8.2,3.8,77.9
53,Female,Student,6.1,,3.3,7.0,7.1,7.9,3,9.7,4.9,4.4,6.4,10.0,59.5
44,Male,Unemployed,7.8,6.8,5.8,1.4,3.1,7.3,1,1.3,9.2,1.9,,1.6,56.7
30,Other,Student,6.3,5.3,6.7,1.1,4.9,6.4,2,5.5,4.8,7.7,7.1,7.0,32.9
44,Other,Student,6.1,5.8,7.3,0.4,1.9,8.2,2,6.4,6.8,7.2,5.5,9.3,19.9
34,Male,Employed,7.9,,8.3,2.4,6.9,6.4,2,6.9,9.6,5.8,6.2,5.1,62.3
21,Male,Unemployed,5.9,9.5,5.7,4.8,5.6,7.0,1,0.5,7.1,7.4,8.1,3.2,77.3
45,Female,Student,4.7,10.0,7.7,2.8,1.3,6.3,2,6.7,8.6,5.8,7.4,3.4,59.1
19,Female,Student,8.5,6.1,7.8,1.5,6.0,4.6,3,6.8,8.1,5.8,8.6,2.8,67.3
55,Male,Employed,6.5,8.9,4.5,0.5,7.4,3.4,2,9.5,8.3,6.8,7.7,4.7,54.4
49,Male,Employed,4.3,3.8,6.0,4.0,7.0,7.1,3,7.2,7.9,5.5,6.7,6.5,41.2
35,Male,Unemployed,5.2,6.2,9.4,1.6,7.6,4.6,2,0.7,7.9,4.6,5.4,6.2,47.8
32,Female,Employed,7.3,8.0,6.5,0.6,7.1,7.3,2,8.3,8.1,3.7,9.2,4.2,68.3
38,Female,Student,5.7,7.4,5.3,0.5,8.5,6.4,4,7.7,5.7,6.9,5.5,5.7,65.6
22,Female,Employed,4.2,,4.4,1.3,5.4,9.1,2,7.8,6.5,6.5,,1.1,62.4
50,Female,Student,5.5,6.6,7.1,5.8,6.8,4.8,4,6.8,6.9,8.6,4.7,2.3,67.0
35,Male,Student,4.7,2.7,6.1,4.6,3.4,5.8,2,11.2,1.2,9.1,7.3,2.2,50.1
48,Male,Employed,4.6,4.8,4.9,0.5,3.2,6.5,1,8.5,4.2,7.1,8.1,5.7,37.0
54,Female,Employed,6.5,6.1,8.6,2.1,10.0,5.7,1,6.8,8.4,5.8,,2.6,66.0
18,Male,Employed,7.3,6.5,8.6,6.2,5.4,3.1,1,3.6,6.1,6.3,10.0,6.8,51.5
34,Female,Student,5.6,4.2,4.4,6.9,7.8,7.9,3,5.5,4.2,4.3,5.1,5.4,55.3
